fips,name,type,category,year,actualization,bf_per_capita,velocity,newness
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
00,United States,Total,Total,2005,0.23218465987331313,0.00456454901201675,1.4298732300392911,
